"Metabolite_1","Metabolite_2","Metabolite_3","Metabolite_4","Metabolite_5","Metabolite_6","Metabolite_7","Metabolite_8","Metabolite_9","Metabolite_10","SampleID"
891,519,42,608,743,698,811,138,954,975,"SA001"
626,679,364,756,76,684,319,58,40,384,"SA002"
303,903,274,847,451,348,581,931,494,489,"SA003"
388,26,850,613,54,555,455,568,226,491,"SA004"
160,989,362,793,340,137,269,118,859,12,"SA005"
863,303,304,23,734,785,555,565,531,641,"SA006"
953,939,759,417,4,887,231,540,5,513,"SA007"
564,688,845,875,772,204,543,820,278,320,"SA008"
330,447,458,647,463,771,448,703,325,581,"SA009"
997,816,730,924,721,596,130,568,589,617,"SA010"
235,39,104,172,667,958,622,721,250,438,"SA011"
613,739,220,316,572,159,548,752,43,170,"SA012"
108,349,954,804,704,526,149,381,111,715,"SA013"
487,829,752,989,657,873,560,288,704,748,"SA014"
99,536,819,322,289,870,427,532,939,844,"SA015"
161,275,418,1,97,24,448,260,311,535,"SA016"
283,801,594,992,962,976,833,832,78,302,"SA017"
584,92,799,148,736,490,720,405,322,457,"SA018"
732,832,888,49,613,389,457,73,625,384,"SA019"
166,277,385,597,120,418,521,954,440,249,"SA020"
866,753,90,321,550,93,242,217,801,655,"SA021"
709,964,626,528,263,162,76,406,279,955,"SA022"
760,81,746,795,898,405,391,626,571,291,"SA023"
147,854,85,69,9,342,13,628,42,650,"SA024"
358,802,301,695,236,415,867,328,191,536,"SA025"
673,385,615,949,130,304,993,139,727,597,"SA026"
524,328,753,278,326,560,709,915,827,25,"SA027"
350,205,917,249,726,156,827,599,511,5,"SA028"
241,569,476,159,992,957,892,750,568,131,"SA029"
58,888,567,72,715,44,539,919,1,25,"SA030"
237,530,737,557,504,372,555,529,144,92,"SA031"
890,587,857,490,436,963,276,372,866,476,"SA032"
812,666,909,494,949,645,659,66,83,197,"SA033"
748,530,56,888,120,61,243,854,245,815,"SA034"
155,510,503,37,75,410,288,510,982,244,"SA035"
125,16,351,204,889,426,716,210,578,489,"SA036"
975,48,846,514,424,508,728,376,249,649,"SA037"
436,929,806,236,42,450,173,207,615,159,"SA038"
464,769,117,575,647,623,306,459,32,837,"SA039"
165,201,713,482,469,140,370,242,146,437,"SA040"
585,650,235,569,618,908,78,119,703,233,"SA041"
271,654,75,144,271,569,713,72,66,299,"SA042"
230,395,936,146,157,548,551,691,622,159,"SA043"
691,812,157,412,114,117,136,287,937,586,"SA044"
283,547,647,683,508,762,974,149,88,149,"SA045"
810,885,174,653,548,478,562,972,973,179,"SA046"
94,553,20,916,141,782,788,411,26,339,"SA047"
822,906,521,813,170,46,849,402,725,184,"SA048"
427,587,86,676,762,820,878,649,454,406,"SA049"
756,423,283,807,527,269,800,916,566,614,"SA050"
662,950,420,128,861,283,640,217,873,686,"SA051"
445,709,587,251,674,643,629,548,555,824,"SA052"
627,413,807,332,13,948,271,720,738,374,"SA053"
0,18,202,407,693,7,30,397,623,953,"SA054"
217,567,459,635,892,352,420,94,311,19,"SA055"
705,490,448,809,632,419,355,635,392,612,"SA056"
215,879,734,259,107,458,392,2,202,464,"SA057"
814,813,715,819,921,712,172,211,853,355,"SA058"
308,854,831,15,675,920,320,679,607,882,"SA059"
688,368,887,654,149,627,414,866,756,76,"SA060"
933,874,953,812,745,902,759,800,563,883,"SA061"
116,151,551,461,943,757,272,135,276,188,"SA062"
128,282,522,203,421,138,116,387,736,215,"SA063"
678,667,171,19,298,153,29,788,549,870,"SA064"
429,977,479,283,259,191,807,693,346,61,"SA065"
834,583,254,915,223,433,480,594,515,235,"SA066"
971,527,40,934,566,87,806,124,816,993,"SA067"
70,61,635,543,757,224,79,555,526,678,"SA068"
460,969,540,219,670,572,115,449,203,435,"SA069"
702,120,140,489,547,400,129,766,848,377,"SA070"
87,88,284,801,811,565,739,26,370,461,"SA071"
993,881,583,408,759,830,757,195,303,802,"SA072"
253,508,165,104,20,642,992,881,771,663,"SA073"
50,337,96,281,381,391,625,110,733,466,"SA074"
686,894,429,361,51,710,289,969,839,53,"SA075"
787,32,356,259,798,109,200,385,569,237,"SA076"
354,237,845,471,924,274,801,859,26,233,"SA077"
366,686,260,366,543,594,728,887,486,231,"SA078"
287,226,23,121,852,160,217,489,543,62,"SA079"
80,318,862,47,584,853,744,718,837,497,"SA080"
365,174,335,263,668,848,867,487,729,244,"SA081"
178,801,632,969,511,478,529,989,555,758,"SA082"
536,146,546,488,763,774,599,65,73,547,"SA083"
504,823,376,478,903,295,938,158,137,948,"SA084"
945,331,186,749,820,66,951,785,685,86,"SA085"
341,374,429,668,71,441,661,542,100,948,"SA086"
465,630,631,49,4,462,72,417,204,722,"SA087"
83,97,521,695,52,341,826,999,366,922,"SA088"
860,22,660,363,867,185,480,256,846,614,"SA089"
396,993,729,884,576,507,391,508,237,161,"SA090"
736,584,487,775,314,19,299,79,705,183,"SA091"
172,782,384,139,959,774,244,814,108,730,"SA092"
455,892,7,295,591,560,422,382,779,590,"SA093"
770,755,4,126,531,641,938,802,255,312,"SA094"
63,979,995,590,384,468,264,198,548,773,"SA095"
815,44,108,562,320,279,569,946,34,336,"SA096"
301,903,419,689,808,461,202,346,806,856,"SA097"
365,866,718,311,42,793,193,522,338,581,"SA098"
312,775,743,606,364,586,719,112,916,416,"SA099"
37,377,872,991,857,395,314,886,357,933,"SA100"
