"Species_1","Species_2","Species_3","Species_4","Species_5","Species_6","Species_7","Species_8","Species_9","Species_10","Species_11","Species_12","Species_13","Species_14","Species_15","Species_16","Species_17","Species_18","Species_19","Species_20","SampleID"
463,731,469,82,540,562,111,868,992,474,606,396,763,873,121,692,777,515,683,716,"SA001"
99,14,851,780,882,378,251,25,22,231,496,963,510,905,367,92,840,888,714,536,"SA002"
465,45,582,193,38,519,680,850,180,454,109,377,227,779,790,737,871,704,280,49,"SA003"
984,418,187,656,881,74,577,524,329,79,846,78,166,167,216,945,953,424,674,823,"SA004"
925,644,609,435,722,538,416,435,855,258,446,529,316,121,621,664,384,300,297,252,"SA005"
435,220,893,197,770,961,729,931,184,554,750,950,45,118,378,667,951,963,571,521,"SA006"
870,833,794,995,864,528,574,165,795,22,796,856,670,432,604,420,704,125,55,327,"SA007"
300,695,504,447,501,437,578,379,859,211,391,549,746,777,565,138,422,680,348,110,"SA008"
798,899,423,31,926,32,590,138,472,636,15,665,249,904,694,469,391,820,498,852,"SA009"
801,414,654,937,208,38,223,150,648,717,743,500,467,426,814,94,211,216,532,625,"SA010"
387,411,888,871,27,47,103,676,325,777,68,924,44,810,454,754,752,594,816,848,"SA011"
382,250,892,601,316,161,737,562,466,73,532,92,98,468,370,366,445,162,510,126,"SA012"
646,374,178,299,660,469,612,472,942,99,123,497,897,679,823,568,453,406,849,668,"SA013"
862,232,258,809,315,806,951,811,245,946,676,782,615,759,513,383,83,239,594,608,"SA014"
657,932,113,952,944,281,960,962,22,931,56,870,641,683,742,203,365,528,538,946,"SA015"
516,476,797,852,779,755,745,515,967,921,798,902,461,848,849,535,895,671,627,581,"SA016"
149,48,110,127,339,522,435,704,260,650,663,811,280,312,440,386,544,908,292,303,"SA017"
613,774,829,969,482,289,175,181,654,156,244,154,945,183,406,862,31,333,567,935,"SA018"
42,331,771,557,416,17,435,355,75,910,160,730,23,94,851,94,388,243,999,844,"SA019"
498,553,944,5,776,668,762,50,969,922,58,760,177,15,727,63,113,310,920,425,"SA020"
740,676,467,136,485,67,919,153,919,169,15,661,971,902,615,167,277,227,769,486,"SA021"
754,277,940,6,15,836,907,99,868,73,833,908,800,796,700,936,720,123,844,769,"SA022"
63,53,785,817,642,135,816,280,424,566,262,390,1000,78,748,443,376,268,922,252,"SA023"
442,426,875,782,235,656,200,387,781,365,55,957,261,102,262,674,634,924,601,812,"SA024"
501,610,394,931,747,838,50,634,300,460,348,457,582,174,276,36,497,56,368,822,"SA025"
270,976,100,369,296,258,479,707,289,465,580,195,72,529,199,468,807,501,747,417,"SA026"
599,970,277,974,906,136,590,326,999,779,804,591,802,735,943,46,582,794,485,916,"SA027"
736,88,722,824,853,763,97,965,987,824,340,155,881,118,271,620,172,838,5,71,"SA028"
714,498,356,787,462,212,951,696,480,282,135,519,890,103,498,865,937,576,673,810,"SA029"
116,396,383,623,71,268,163,161,762,730,774,413,11,552,37,196,54,242,404,486,"SA030"
575,390,32,967,578,532,922,369,329,496,877,827,241,291,802,282,87,582,953,305,"SA031"
798,318,521,500,580,474,128,302,236,66,988,563,607,440,405,865,842,138,134,618,"SA032"
232,683,121,894,994,373,663,458,618,38,655,456,363,118,460,32,421,483,378,319,"SA033"
725,285,885,401,335,775,784,823,340,238,254,192,709,922,931,782,717,94,900,652,"SA034"
838,390,75,448,667,558,765,233,58,218,641,472,42,733,390,455,736,305,803,916,"SA035"
119,990,784,936,939,155,673,402,982,422,451,233,657,462,746,80,987,677,506,569,"SA036"
959,792,854,683,575,989,116,972,688,550,197,314,231,672,784,907,961,205,18,638,"SA037"
748,312,37,18,692,244,851,124,862,714,606,867,273,288,207,189,142,395,250,416,"SA038"
811,817,275,166,90,130,618,630,462,240,975,445,733,663,57,746,665,803,306,797,"SA039"
190,221,642,496,866,213,836,704,126,896,199,434,178,375,332,432,33,228,662,862,"SA040"
26,501,785,427,501,380,170,591,680,483,435,473,386,671,684,671,495,77,98,367,"SA041"
864,167,400,992,223,360,10,997,20,263,340,833,684,413,768,187,791,778,965,488,"SA042"
919,120,935,889,412,303,323,45,163,320,34,10,415,711,653,882,379,670,867,896,"SA043"
138,898,391,346,886,44,270,990,896,664,99,309,542,281,934,49,948,511,285,464,"SA044"
478,94,424,706,496,935,825,745,153,728,419,86,455,739,4,220,661,214,435,209,"SA045"
463,865,286,909,673,569,934,437,259,571,47,823,127,575,378,262,433,188,341,676,"SA046"
700,277,612,676,283,221,128,153,244,879,27,471,31,24,644,767,839,611,348,734,"SA047"
66,27,559,639,817,878,913,449,312,409,174,532,166,363,99,386,805,39,304,653,"SA048"
733,787,40,150,246,467,605,186,221,205,378,395,799,441,15,279,427,229,915,207,"SA049"
396,359,745,601,370,542,400,427,31,471,588,454,142,403,149,78,329,824,284,961,"SA050"
461,25,206,273,236,784,666,821,903,379,336,115,74,545,745,500,565,300,868,7,"SA051"
725,746,656,458,936,648,768,50,959,248,495,31,29,863,853,451,861,16,817,902,"SA052"
